2023-02-22 09:46:46.627 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 09:49:45.115 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 09:52:10.343 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 10:04:58.497 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 10:08:01.536 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 10:09:47.700 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 10:14:43.853 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 10:16:15.487 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 11:22:31.284 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 16:26:04.191 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 16:27:48.083 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 16:32:13.749 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 16:35:03.851 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-22 16:36:38.362 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
