2023-08-16 14:12:00.619 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 14:20:28.234 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 14:24:11.071 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 14:46:45.091 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 14:54:41.290 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 15:13:41.342 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 15:59:08.134 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 16:02:55.795 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 16:04:05.754 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 16:15:37.611 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-08-16 16:17:18.431 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
