2023-02-20 17:15:47.575 [nacos-grpc-client-executor-9] INFO  com.alibaba.nacos.common.remote.client - [1676884977056_192.168.5.93_2547]Ignore complete event,isRunning:false,isAbandon=false
2023-02-20 17:16:33.317 [main] INFO  com.demo.api.ApiApplication - Starting ApiApplication using Java 1.8.0_281 on DESKTOP-U3PSKH7 with PID 20768 (D:\demo\api\target\classes started by Uniigym3 in D:\demo)
2023-02-20 17:16:33.320 [main] INFO  com.demo.api.ApiApplication - The following profiles are active: dev
2023-02-20 17:16:34.551 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-02-20 17:16:34.555 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-02-20 17:16:34.585 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2023-02-20 17:16:34.952 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=b5306404-e7f6-3ae8-940c-c101faa9c70b
2023-02-20 17:16:35.632 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2023-02-20 17:16:35.633 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2257 ms
2023-02-20 17:16:35.915 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'async-service' URL not provided. Will try picking an instance via load-balancing.
2023-02-20 17:16:36.381 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-02-20 17:16:36.389 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-02-20 17:16:38.943 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-02-20 17:16:45.077 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-02-20 17:16:45.246 [main] INFO  io.undertow - starting server: Undertow - 2.2.14.Final
2023-02-20 17:16:45.256 [main] INFO  org.xnio - XNIO version 3.8.4.Final
2023-02-20 17:16:45.265 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.4.Final
2023-02-20 17:16:45.312 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2023-02-20 17:16:45.376 [main] INFO  o.s.boot.web.embedded.undertow.UndertowWebServer - Undertow started on port(s) 8111 (http)
